client,conversion,rate,remainder,balanceUAH_EUR
1000,26.46,0.03,12424.08,35200.24
client,conversion,rate,remainder,balanceUAH_EUR
2000,52.91,0.03,12397.63,36200.24
client,conversion,rate,remainder,balanceUAH_EUR
10000,260.42,0.03,12190.12,44200.24
client,conversion,rate,remainder,balanceUAH_EUR
10000,260.42,0.03,12190.12,44200.24
client,conversion,rate,remainder,balanceUAH_EUR
1000,26.04,0.03,12424.5,35200.24
client,conversion,rate,remainder,balanceUAH_EUR
1000,26.04,0.03,11973.96,31000.0
client,conversion,rate,remainder,balanceUAH_EUR
1000,26.25,0.03,11973.75,31000.0
client,conversion,rate,remainder,balanceUAH_EUR
1000,26.18,0.03,11973.82,31000.0
