client,conversion,rate,remainder,balanceUAH_USD
1000,25.13,0.03,15675.85,51342.48
client,conversion,rate,remainder,balanceUAH_USD
2000,50.25,0.03,15650.73,52342.48
client,conversion,rate,remainder,balanceUAH_USD
100,2.54,0.03,15698.44,50442.48
client,conversion,rate,remainder,balanceUAH_USD
100,2.54,0.03,15698.44,50442.48
client,conversion,rate,remainder,balanceUAH_USD
1000,25.45,0.03,15675.53,51342.48
client,conversion,rate,remainder,balanceUAH_USD
1000,25.45,0.03,15675.53,51342.48
client,conversion,rate,remainder,balanceUAH_USD
100,2.54,0.03,15698.44,50442.48
client,conversion,rate,remainder,balanceUAH_USD
1000,25.45,0.03,15675.53,51342.48
client,conversion,rate,remainder,balanceUAH_USD
1000,25.45,0.03,15675.53,51342.48
client,conversion,rate,remainder,balanceUAH_USD
10000,254.45,0.03,15446.53,60342.48
client,conversion,rate,remainder,balanceUAH_USD
1000,25.45,0.03,15675.53,51342.48
client,conversion,rate,remainder,balanceUAH_USD
1000,25.45,0.03,14974.55,51000.0
